week,chain,name,supply,probes,uptime,p50_ms,p95_ms,weakest_day
2026-W35,arbitrum_one,Arbitrum One,all,10080,1.0,59,200,2026-08-25
2026-W35,base_mainnet,Base Mainnet,all,12096,1.0,106,464,2026-08-28
2026-W35,eth_mainnet,Ethereum Mainnet,all,12096,1.0,64,476,2026-08-24
2026-W35,optimism_mainnet,OP Mainnet,all,10080,1.0,61,165,2026-08-28
2026-W35,polygon_pos,Polygon PoS,all,6048,1.0,54,136,2026-08-27
2026-W35,solana_mainnet,Solana Mainnet,all,6014,1.0,57,552,2026-08-30
2026-W35,arbitrum_one,Arbitrum One,public pool,10080,0.9994,59,,
2026-W35,base_mainnet,Base Mainnet,public pool,12096,0.99215,106,,
2026-W35,eth_mainnet,Ethereum Mainnet,public pool,12096,0.99686,64,,
2026-W35,optimism_mainnet,OP Mainnet,public pool,10080,0.9998,61,,
2026-W35,polygon_pos,Polygon PoS,public pool,6048,0.99967,54,,
2026-W35,solana_mainnet,Solana Mainnet,public pool,6014,0.99584,57,,
