week,chain,name,supply,probes,uptime,p50_ms,p95_ms,weakest_day
2026-W36,arbitrum_one,Arbitrum One,all,11039,1.0,57,191,2026-09-01
2026-W36,base_mainnet,Base Mainnet,all,12699,1.0,88,461,2026-09-04
2026-W36,eth_mainnet,Ethereum Mainnet,all,11723,1.0,64,911,2026-09-03
2026-W36,optimism_mainnet,OP Mainnet,all,11003,1.0,64,307,2026-09-05
2026-W36,polygon_pos,Polygon PoS,all,7719,1.0,57,130,2026-08-31
2026-W36,solana_mainnet,Solana Mainnet,all,7719,1.0,53,427,2026-09-01
2026-W36,arbitrum_one,Arbitrum One,contracted,2739,0.98722,47,,
2026-W36,arbitrum_one,Arbitrum One,public pool,8300,0.99916,61,,
2026-W36,base_mainnet,Base Mainnet,contracted,2739,1.0,74,,
2026-W36,base_mainnet,Base Mainnet,public pool,9960,0.99207,110,,
2026-W36,eth_mainnet,Ethereum Mainnet,contracted,2740,0.99964,76,,
2026-W36,eth_mainnet,Ethereum Mainnet,public pool,8983,0.98597,61,,
2026-W36,optimism_mainnet,OP Mainnet,contracted,2739,1.0,101,,
2026-W36,optimism_mainnet,OP Mainnet,public pool,8264,0.99964,62,,
2026-W36,polygon_pos,Polygon PoS,contracted,2739,1.0,63,,
2026-W36,polygon_pos,Polygon PoS,public pool,4980,0.9994,54,,
2026-W36,solana_mainnet,Solana Mainnet,contracted,2739,0.99927,46,,
2026-W36,solana_mainnet,Solana Mainnet,public pool,4980,0.99799,62,,
